日付,設備,製品,シフト,生産数量,停止時間(秒),原因,チョコ停回数,総停止時間,停止率(%),回数/1000個
2026-01-01,NC-01,角物B,夜勤,902,140,材料詰まり,8,607,2.107638888888889,8.869179600886918
2026-01-01,NC-01,丸物A,昼勤,902,167,材料詰まり,8,607,2.107638888888889,8.869179600886918
2026-01-01,NC-01,丸物A,昼勤,902,67,センサー誤検知,8,607,2.107638888888889,8.869179600886918
2026-01-01,NC-01,プレートC,夜勤,902,68,センサー誤検知,8,607,2.107638888888889,8.869179600886918
2026-01-01,NC-01,丸物A,昼勤,902,60,センサー誤検知,8,607,2.107638888888889,8.869179600886918
2026-01-01,NC-01,丸物A,昼勤,902,60,位置ズレ,8,607,2.107638888888889,8.869179600886918
2026-01-01,NC-01,角物B,夜勤,902,27,原因不明,8,607,2.107638888888889,8.869179600886918
2026-01-01,NC-01,角物B,夜勤,902,18,材料詰まり,8,607,2.107638888888889,8.869179600886918
2026-01-01,NC-02,角物B,夜勤,891,11,センサー誤検知,11,775,2.6909722222222223,12.345679012345679
2026-01-01,NC-02,プレートC,夜勤,891,13,材料詰まり,11,775,2.6909722222222223,12.345679012345679
2026-01-01,NC-02,角物B,夜勤,891,53,原因不明,11,775,2.6909722222222223,12.345679012345679
2026-01-01,NC-02,プレートC,夜勤,891,23,位置ズレ,11,775,2.6909722222222223,12.345679012345679
2026-01-01,NC-02,丸物A,夜勤,891,49,作業者リセット,11,775,2.6909722222222223,12.345679012345679
2026-01-01,NC-02,角物B,昼勤,891,120,作業者リセット,11,775,2.6909722222222223,12.345679012345679
2026-01-01,NC-02,丸物A,昼勤,891,133,材料詰まり,11,775,2.6909722222222223,12.345679012345679
2026-01-01,NC-02,プレートC,昼勤,891,54,材料詰まり,11,775,2.6909722222222223,12.345679012345679
2026-01-01,NC-02,プレートC,昼勤,891,97,センサー誤検知,11,775,2.6909722222222223,12.345679012345679
2026-01-01,NC-02,プレートC,昼勤,891,90,位置ズレ,11,775,2.6909722222222223,12.345679012345679
2026-01-01,NC-02,プレートC,夜勤,891,132,材料詰まり,11,775,2.6909722222222223,12.345679012345679
2026-01-01,MC-01,角物B,昼勤,840,140,作業者リセット,10,1026,3.5624999999999996,11.904761904761905
2026-01-01,MC-01,丸物A,昼勤,840,151,センサー誤検知,10,1026,3.5624999999999996,11.904761904761905
2026-01-01,MC-01,丸物A,昼勤,840,24,材料詰まり,10,1026,3.5624999999999996,11.904761904761905
2026-01-01,MC-01,丸物A,夜勤,840,72,作業者リセット,10,1026,3.5624999999999996,11.904761904761905
2026-01-01,MC-01,丸物A,昼勤,840,105,位置ズレ,10,1026,3.5624999999999996,11.904761904761905
2026-01-01,MC-01,丸物A,夜勤,840,152,作業者リセット,10,1026,3.5624999999999996,11.904761904761905
2026-01-01,MC-01,角物B,夜勤,840,80,材料詰まり,10,1026,3.5624999999999996,11.904761904761905
2026-01-01,MC-01,角物B,昼勤,840,75,位置ズレ,10,1026,3.5624999999999996,11.904761904761905
2026-01-01,MC-01,角物B,夜勤,840,143,センサー誤検知,10,1026,3.5624999999999996,11.904761904761905
2026-01-01,MC-01,プレートC,夜勤,840,84,材料詰まり,10,1026,3.5624999999999996,11.904761904761905
2026-01-01,MC-02,プレートC,昼勤,1030,12,材料詰まり,3,244,0.8472222222222223,2.912621359223301
2026-01-01,MC-02,プレートC,夜勤,1030,71,材料詰まり,3,244,0.8472222222222223,2.912621359223301
2026-01-01,MC-02,角物B,夜勤,1030,161,原因不明,3,244,0.8472222222222223,2.912621359223301
2026-01-01,GR-01,角物B,夜勤,895,90,材料詰まり,7,836,2.9027777777777777,7.82122905027933
2026-01-01,GR-01,丸物A,昼勤,895,63,材料詰まり,7,836,2.9027777777777777,7.82122905027933
2026-01-01,GR-01,丸物A,夜勤,895,156,位置ズレ,7,836,2.9027777777777777,7.82122905027933
2026-01-01,GR-01,プレートC,夜勤,895,169,センサー誤検知,7,836,2.9027777777777777,7.82122905027933
2026-01-01,GR-01,角物B,夜勤,895,132,材料詰まり,7,836,2.9027777777777777,7.82122905027933
2026-01-01,GR-01,角物B,夜勤,895,78,位置ズレ,7,836,2.9027777777777777,7.82122905027933
2026-01-01,GR-01,丸物A,昼勤,895,148,作業者リセット,7,836,2.9027777777777777,7.82122905027933
2026-01-02,NC-01,丸物A,昼勤,923,48,原因不明,10,1064,3.6944444444444446,10.834236186348862
2026-01-02,NC-01,角物B,昼勤,923,160,センサー誤検知,10,1064,3.6944444444444446,10.834236186348862
2026-01-02,NC-01,角物B,夜勤,923,16,位置ズレ,10,1064,3.6944444444444446,10.834236186348862
2026-01-02,NC-01,丸物A,夜勤,923,69,材料詰まり,10,1064,3.6944444444444446,10.834236186348862
2026-01-02,NC-01,プレートC,昼勤,923,149,センサー誤検知,10,1064,3.6944444444444446,10.834236186348862
